ts,o,h,l,c,v
2026-07-24T09:00:00Z,4023.1,4071.3,4022.14,4050.233,0.013114
2026-07-24T10:00:00Z,4051.6725,4076.4,4027.2,4050.505,0.004812
2026-07-24T11:00:00Z,4051.52,4075.63,4023.718,4049.25,0.015115
2026-07-24T12:00:00Z,4024.4,4073.83,4024.4,4045.75,0.015371
2026-07-24T13:00:00Z,4047.635,4075.84,4036.672,4060.046,0.025722
2026-07-24T14:00:00Z,4061.3155,4083.68,4030.238,4059.119,0.085206
2026-07-24T15:00:00Z,4061.75,4094.742,4043.9,4069.1245,0.063864
2026-07-24T16:00:00Z,4093.0,4093.0,4036.22,4058.6165,0.013121
2026-07-24T17:00:00Z,4060.71,4085.428,4034.6,4057.8075,0.0063
2026-07-24T18:00:00Z,4082.115,4082.115,4022.1,4048.95,0.035314
2026-07-24T19:00:00Z,4072.7,4072.7,4043.26,4048.2,0.005349
2026-07-24T20:00:00Z,4072.5,4072.6,4022.5,4045.682,0.018916
2026-07-24T21:00:00Z,4069.7,4071.313,4045.682,4048.55,0.004339
2026-07-24T22:00:00Z,4072.9,4073.6,4024.03,4049.6515,0.031075
2026-07-24T23:00:00Z,4025.253,4049.6515,4025.253,4049.155,0.003449
2026-07-25T00:00:00Z,4050.6305,4076.5,4026.091,4050.18,0.009321
2026-07-25T01:00:00Z,4026.63,4075.01,4026.63,4050.1185,0.00707
2026-07-25T02:00:00Z,4074.07,4074.685,4025.0,4049.04,0.074911
2026-07-25T03:00:00Z,4024.58,4073.5,4024.1,4048.3255,0.012051
2026-07-25T04:00:00Z,4072.711,4073.162,4024.124,4048.0375,0.024142
2026-07-25T05:00:00Z,4071.325,4073.317,4023.1,4048.788,0.060439
2026-07-25T06:00:00Z,4024.56,4073.7,4024.56,4048.0315,0.056985
2026-07-25T07:00:00Z,4072.5,4072.5,4048.0315,4048.1,0.019028
2026-07-25T08:00:00Z,4072.9,4072.9,4047.58,4048.321,0.019781
2026-07-25T09:00:00Z,4072.53,4072.53,4024.01,4047.26,0.014619
2026-07-25T10:00:00Z,4071.12,4071.98,4022.35,4047.343,0.063233
2026-07-25T12:00:00Z,4070.35,4071.705,4023.22,4047.2255,0.027273
2026-07-25T13:00:00Z,4023.24,4073.26,4023.24,4049.8,0.008334
2026-07-25T14:00:00Z,4026.4,4073.492,4024.551,4050.179,0.020588
2026-07-25T15:00:00Z,4026.258,4074.883,4025.18,4051.4445,0.035884
2026-07-25T16:00:00Z,4075.519,4075.519,4025.5,4050.085,0.016841
2026-07-25T17:00:00Z,4025.58,4075.198,4025.58,4050.45,0.019871
2026-07-25T18:00:00Z,4026.6,4076.98,4026.6,4051.3945,0.004883
2026-07-25T19:00:00Z,4075.379,4077.1,4026.2,4050.485,0.016809
2026-07-25T21:00:00Z,4026.85,4076.92,4026.85,4051.073,0.005188
2026-07-25T22:00:00Z,4027.0,4054.165,4027.0,4053.7925,0.009457
2026-07-25T23:00:00Z,4029.195,4077.25,4028.05,4051.77,0.038206
2026-07-26T00:00:00Z,4075.81,4075.81,4027.837,4050.68,0.011282
2026-07-26T01:00:00Z,4026.285,4076.07,4026.239,4051.7265,0.00794
2026-07-26T02:00:00Z,4076.623,4076.623,4026.814,4051.88,0.063227
2026-07-26T03:00:00Z,4027.96,4076.142,4027.96,4052.419,0.018863
2026-07-26T04:00:00Z,4028.928,4052.9095,4028.309,4052.7015,0.004786
2026-07-26T05:00:00Z,4076.0,4076.0,4030.535,4054.0135,0.007634
2026-07-26T06:00:00Z,4030.187,4054.0135,4028.26,4052.623,0.003725
2026-07-26T07:00:00Z,4028.116,4052.623,4028.116,4051.95,0.006003
2026-07-26T08:00:00Z,4028.5,4078.19,4028.5,4054.756,0.050686
2026-07-26T09:00:00Z,4053.9135,4078.655,4028.6,4054.085,0.03302
2026-07-26T10:00:00Z,4055.8,4080.7,4029.2,4057.135,0.030347
2026-07-26T11:00:00Z,4033.2,4081.464,4031.6,4056.2015,0.020933
2026-07-26T12:00:00Z,4032.22,4079.23,4030.38,4055.0455,0.017425
2026-07-26T13:00:00Z,4030.9,4080.4,4030.9,4055.82,0.010169
2026-07-26T14:00:00Z,4031.24,4082.5,4031.24,4055.905,0.011339
2026-07-26T15:00:00Z,4032.46,4082.2,4032.46,4059.15,0.031992
2026-07-26T16:00:00Z,4061.6485,4087.0,4037.823,4062.7175,0.019206
2026-07-26T17:00:00Z,4059.382,4084.8,4035.5,4059.07,0.073459
2026-07-26T19:00:00Z,4082.8,4082.8,4058.718,4058.718,0.001889
2026-07-26T20:00:00Z,4058.001,4058.001,4058.001,4058.001,0.0
2026-07-26T21:00:00Z,4082.502,4091.27,4034.13,4065.9955,0.024976
2026-07-26T22:00:00Z,4069.8645,4085.5815,4056.5,4081.905,0.018618
2026-07-26T23:00:00Z,4080.4855,4107.45,4051.32,4083.24,0.007169
2026-07-27T00:00:00Z,4085.564,4119.71,4064.478,4090.45,0.067406
2026-07-27T01:00:00Z,4093.165,4119.264,4066.618,4097.49,0.011331
2026-07-27T02:00:00Z,4095.55,4119.602,4060.22,4084.065,0.030038
2026-07-27T03:00:00Z,4083.0505,4105.63,4061.0,4082.6885,0.206934
2026-07-27T04:00:00Z,4083.0,4104.1,4061.0,4082.935,0.009013
2026-07-27T05:00:00Z,4083.92,4107.76,4057.9,4081.11,0.038253
2026-07-27T06:00:00Z,4081.9,4105.0,4058.8,4083.4765,0.014187
2026-07-27T07:00:00Z,4084.5,4105.0,4059.48,4079.6,0.022678
